,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
79,Sandakan,5.8402,118.1179,80.28,94,99,1.99,MY,overcast clouds
80,Lazaro Cardenas,17.9583,-102.2,85.14,70,81,4.83,MX,broken clouds
81,Astana,51.1801,71.446,30.15,80,21,6.71,KZ,mist
82,Arraial Do Cabo,-22.9661,-42.0278,73.26,78,75,11.5,BR,broken clouds
83,Bafoulabe,13.8065,-10.8321,87.69,34,2,3.91,ML,clear sky
84,Moerai,-22.4333,-151.3333,76.86,87,100,18.57,PF,overcast clouds
85,Pangai,-19.8,-174.35,77.11,69,40,19.57,TO,scattered clouds
86,Saint George,37.1041,-113.5841,72.07,24,20,13.0,US,few clouds
87,Thompson,55.7435,-97.8558,51.96,66,75,3.44,CA,broken clouds
88,Bengkulu,-3.8004,102.2655,73.08,96,100,2.71,ID,moderate rain
89,Nikki,9.9401,3.2108,74.59,89,100,4.61,BJ,overcast clouds
90,Norman Wells,65.282,-126.8329,23.04,93,75,10.36,CA,broken clouds
91,Coxim,-18.5067,-54.76,89.91,44,100,3.91,BR,overcast clouds
92,Bredasdorp,-34.5322,20.0403,53.28,72,0,3.87,ZA,clear sky
93,Cotacachi,0.3,-78.2667,72.95,62,88,3.04,EC,light rain
94,Iqaluit,63.7506,-68.5145,35.33,87,75,18.01,CA,broken clouds
95,Grand-Santi,4.25,-54.3833,85.73,60,100,3.36,GF,overcast clouds
96,Pangnirtung,66.1451,-65.7125,33.8,75,75,4.61,CA,broken clouds
97,Santa Ines,-3.6667,-45.38,82.15,75,100,7.07,BR,overcast clouds
98,Cap Malheureux,-19.9842,57.6142,74.46,78,56,5.01,MU,broken clouds
99,Paraopeba,-19.2757,-44.4033,81.95,67,100,2.66,BR,overcast clouds
100,Faanui,-16.4833,-151.75,79.81,79,98,15.41,PF,light rain
101,San Rafael,-34.6177,-68.3301,76.78,14,0,14.85,AR,clear sky
102,Malindi,-3.2175,40.1191,78.96,78,20,11.5,KE,few clouds
103,Borazjan,29.2666,51.2159,85.33,16,0,5.66,IR,clear sky
104,Pinega,64.7001,43.3936,35.13,91,100,4.94,RU,overcast clouds
105,Kununurra,-15.7667,128.7333,76.98,65,27,4.61,AU,scattered clouds
106,Vestmannaeyjar,63.4427,-20.2734,50.99,87,40,25.32,IS,light rain
107,Kodiak,57.79,-152.4072,45.91,76,90,20.71,US,light rain
108,Losheim,49.5167,6.75,51.1,76,100,1.81,DE,overcast clouds
109,Tuatapere,-46.1333,167.6833,45.45,92,100,12.57,NZ,light rain
110,Nikolskoye,59.7035,30.7861,39.09,93,12,6.02,RU,few clouds
111,Hay River,60.8156,-115.7999,31.98,80,20,8.05,CA,few clouds
112,Laguna,38.421,-121.4238,63.45,61,1,1.99,US,clear sky
113,Grindavik,63.8424,-22.4338,48.15,87,90,26.46,IS,moderate rain
114,East London,-33.0153,27.9116,54.54,76,0,2.3,ZA,clear sky
115,Nanortalik,60.1432,-45.2371,32.38,73,41,16.96,GL,scattered clouds
116,Matiri,-10.75,34.9,70.0,54,61,6.33,TZ,broken clouds
117,Vila Velha,-20.3297,-40.2925,75.15,83,75,12.66,BR,broken clouds
118,Esik,43.3552,77.4525,40.42,36,48,5.41,KZ,scattered clouds
119,Provideniya,64.3833,-173.3,28.06,78,100,27.11,RU,overcast clouds
120,Goderich,43.7501,-81.7165,53.92,54,5,14.97,CA,clear sky
121,Georgetown,5.4112,100.3354,82.89,86,20,0.0,MY,few clouds
122,Kemin,42.7846,75.6892,51.73,45,73,3.18,KG,broken clouds
123,Geraldton,-28.7667,114.6,72.01,53,90,24.16,AU,light intensity shower rain
124,Torbay,47.6666,-52.7314,46.27,89,75,21.85,CA,broken clouds
125,Severo-Kurilsk,50.6789,156.125,37.99,72,88,20.24,RU,light rain
126,Floro,61.5996,5.0328,46.36,53,75,10.36,NO,broken clouds
127,Presidente Medici,-11.1753,-61.9014,75.9,90,100,2.71,BR,heavy intensity rain
128,Zeya,53.75,127.2667,21.49,57,29,1.5,RU,scattered clouds
129,Caravelas,-17.7125,-39.2481,79.95,70,22,10.47,BR,few clouds
130,Carnarvon,-24.8667,113.6333,75.27,73,90,28.77,AU,overcast clouds
131,Arlit,18.7369,7.3853,89.42,21,100,10.16,NE,overcast clouds
132,Ancud,-41.8697,-73.8203,62.13,76,31,7.7,CL,scattered clouds
133,Hudson Bay,52.85,-102.3842,59.23,43,100,10.42,CA,overcast clouds
134,Belyy Yar,53.6039,91.3903,22.89,93,18,2.24,RU,mist
135,Callaway,30.153,-85.5699,74.91,45,40,4.0,US,scattered clouds
136,Korla,41.7597,86.1469,54.14,26,100,7.07,CN,overcast clouds
137,New Iberia,30.0035,-91.8187,74.05,53,1,4.61,US,clear sky
138,Solnechnyy,50.7214,136.6319,19.49,69,0,3.29,RU,clear sky
139,Zyryanka,65.75,150.85,4.66,91,87,9.6,RU,overcast clouds
140,Boa Vista,2.8197,-60.6733,89.58,45,75,2.3,BR,broken clouds
141,Sao Filipe,14.8961,-24.4956,80.31,73,6,6.98,CV,clear sky
142,Southbridge,42.0751,-72.0334,60.3,58,95,3.0,US,overcast clouds
143,Bubaque,11.2833,-15.8333,83.41,71,38,8.3,GW,scattered clouds
144,Lompoc,34.6391,-120.4579,71.02,46,1,8.05,US,clear sky
145,Oktyabrskiy,54.4815,53.471,51.03,54,100,8.52,RU,overcast clouds
146,Trelew,-43.249,-65.3051,78.87,21,0,17.85,AR,clear sky
147,Maceio,-9.6658,-35.7353,87.24,66,40,12.66,BR,scattered clouds
148,Paamiut,61.994,-49.6678,34.7,41,0,9.46,GL,clear sky
149,Berlare,51.0364,3.9817,60.04,78,100,12.95,BE,overcast clouds
150,Upernavik,72.7868,-56.1549,27.54,46,100,5.17,GL,overcast clouds
151,Tilichiki,60.4667,166.1,17.02,84,100,10.11,RU,overcast clouds
152,Sinnamary,5.3833,-52.95,83.07,73,100,8.7,GF,overcast clouds
153,Ponta Do Sol,32.6667,-17.1,74.12,43,100,2.98,PT,overcast clouds
154,Mount Isa,-20.7333,139.5,71.37,49,53,4.61,AU,light rain
155,Rawson,-43.3002,-65.1023,74.19,29,0,15.5,AR,clear sky
156,Mahon,39.8885,4.2658,66.76,68,0,3.44,ES,clear sky
157,Fukue,32.6881,128.8419,65.84,69,100,14.65,JP,overcast clouds
158,Nerchinskiy Zavod,51.3088,119.61,12.92,95,16,4.29,RU,few clouds
159,Shubarkuduk,49.1447,56.4872,51.58,26,100,9.8,KZ,overcast clouds
160,Cabo San Lucas,22.8909,-109.9124,91.62,65,15,13.71,MX,few clouds
161,Saskylakh,71.9167,114.0833,24.76,98,100,3.69,RU,light snow
162,Villa Bruzual,9.3328,-69.1208,89.08,56,72,3.74,VE,broken clouds
163,High Level,58.5169,-117.136,32.11,86,20,0.0,CA,few clouds
164,Alekseyevsk,57.8406,108.3492,27.18,78,73,4.68,RU,broken clouds
165,Hofn,64.2539,-15.2082,48.22,81,90,18.41,IS,drizzle rain
166,Pizarro,4.9533,-77.366,81.54,78,80,8.05,CO,light rain
167,Ortega,3.9361,-75.2217,89.51,51,74,4.0,CO,broken clouds
168,San Cristobal,7.7669,-72.225,82.58,47,36,8.05,VE,scattered clouds
169,Padang,-0.9492,100.3543,75.25,94,100,5.82,ID,light rain
170,Nouadhibou,20.931,-17.0347,80.58,47,20,12.66,MR,few clouds
171,Lipari,38.4674,14.954,66.78,63,6,5.93,IT,clear sky
